Walmart Supercenter,"[[[43.1948991], [-77.5976796]], [[43.1939483], [-77.5976228]], [[43.1939542], [-77.597436]], [[43.1936196], [-77.5974159]], [[43.1936132], [-77.5976176]], [[43.1934174], [-77.5976059]], [[43.193434], [-77.5970841]], [[43.1936549], [-77.5970973]], [[43.1936662], [-77.5967407]], [[43.193425], [-77.5967262]], [[43.1934315], [-77.596522]], [[43.1936683], [-77.5965362]], [[43.1936698], [-77.5964901]], [[43.1937518], [-77.596495]], [[43.1937622], [-77.5961665]], [[43.1951336], [-77.5962485]], [[43.1950933], [-77.5975165]], [[43.1949046], [-77.5975052]], [[43.1948991], [-77.5976796]]]"
Skyview on the Ridge,"[[[43.1981683], [-77.5725951]], [[43.1982074], [-77.5715115]], [[43.198309], [-77.5715222]], [[43.1983247], [-77.5710609]], [[43.1983873], [-77.5710501]], [[43.1983873], [-77.5709321]], [[43.1984577], [-77.5709428]], [[43.1984577], [-77.5708356]], [[43.198575], [-77.5706746]], [[43.1986219], [-77.5707175]], [[43.1992085], [-77.5699665]], [[43.1991224], [-77.5698163]], [[43.1992319], [-77.5696983]], [[43.1991537], [-77.5695481]], [[43.1999906], [-77.5695588]], [[43.1999966], [-77.5693948]], [[43.1999984], [-77.5693443]], [[43.2000688], [-77.5693335]], [[43.2000844], [-77.5686254]], [[43.1993727], [-77.568604]], [[43.1993805], [-77.5686683]], [[43.1991146], [-77.5686576]], [[43.1991224], [-77.5685396]], [[43.1986141], [-77.5684967]], [[43.1983638], [-77.5687971]], [[43.1981292], [-77.5684323]], [[43.1979336], [-77.5684108]], [[43.1974956], [-77.5689366]], [[43.19748], [-77.5692155]], [[43.1977303], [-77.5695803]], [[43.1975895], [-77.5697627]], [[43.1975817], [-77.5702347]], [[43.1976599], [-77.570342]], [[43.1976677], [-77.5704493]], [[43.1975035], [-77.5704386]], [[43.1974722], [-77.5714471]], [[43.1976364], [-77.5714686]], [[43.197613], [-77.5716724]], [[43.1976442], [-77.5717368]], [[43.197613], [-77.5725736]], [[43.1976755], [-77.5726487]], [[43.1980666], [-77.5726702]], [[43.1981683], [-77.5725951]]]"
Old Culver School House,"[[[43.2001504], [-77.5626319]], [[43.1996162], [-77.5625899]], [[43.1996285], [-77.5617566]], [[43.2001714], [-77.5617972]], [[43.2001504], [-77.5626319]]]"
Wegmans,"[[[43.2052839], [-77.5590882]], [[43.2053271], [-77.5581043]], [[43.2048373], [-77.5580639]], [[43.2048086], [-77.5581032]], [[43.2046573], [-77.5580925]], [[43.204626], [-77.5581569]], [[43.2044866], [-77.5581454]], [[43.2044411], [-77.5591824]], [[43.2048962], [-77.5592199]], [[43.2049033], [-77.5590567]], [[43.2052839], [-77.5590882]]]"
St. Josaphat's Auditorium,"[[[43.1987247], [-77.5934202]], [[43.1985808], [-77.5934155]], [[43.1985873], [-77.5930404]], [[43.1985879], [-77.5930074]], [[43.198732], [-77.5930126]], [[43.1987303], [-77.5930999]], [[43.1987247], [-77.5934202]]]"
St. Josaphat's Kitchen,"[[[43.1983554], [-77.5930326]], [[43.1984334], [-77.5930367]], [[43.1984358], [-77.5929504]], [[43.1984403], [-77.5927851]], [[43.1983623], [-77.5927811]], [[43.1983554], [-77.5930326]]]"
St. Josaphat's Parish Center,"[[[43.1986456], [-77.5929601]], [[43.1984358], [-77.5929504]], [[43.1984403], [-77.5927851]], [[43.1986496], [-77.5927954]], [[43.1986481], [-77.5928584]], [[43.1986456], [-77.5929601]]]"
St. Josaphat's School,"[[[43.1984334], [-77.5930367]], [[43.1985873], [-77.5930404]], [[43.1985879], [-77.5930074]], [[43.198732], [-77.5930126]], [[43.1987303], [-77.5930999]], [[43.1988081], [-77.5931027]], [[43.1988101], [-77.5929982]], [[43.1988679], [-77.5930003]], [[43.1988639], [-77.5932123]], [[43.1993948], [-77.5932315]], [[43.1993964], [-77.5931507]], [[43.1994246], [-77.5931517]], [[43.1994261], [-77.5930742]], [[43.1994153], [-77.5930738]], [[43.1993995], [-77.5930732]], [[43.1994011], [-77.5929904]], [[43.1988125], [-77.5929691]], [[43.1988145], [-77.5928644]], [[43.1986734], [-77.5928593]], [[43.1986481], [-77.5928584]], [[43.1986456], [-77.5929601]], [[43.1984358], [-77.5929504]], [[43.1984334], [-77.5930367]]]"
St. Josaphat's Ukrainian Catholic Church,"[[[43.1978269], [-77.5932199]], [[43.1978328], [-77.5930912]], [[43.1976627], [-77.592949]], [[43.1974867], [-77.5930751]], [[43.1974838], [-77.5931336]], [[43.1974808], [-77.5931931]], [[43.1976529], [-77.5933433]], [[43.1978269], [-77.5932199]]]"
St. Josaphat's Rectory,"[[[43.1975533], [-77.5927679]], [[43.1974146], [-77.5927571]], [[43.197411], [-77.5928434]], [[43.1973273], [-77.5928369]], [[43.1973302], [-77.5927657]], [[43.1972891], [-77.5927625]], [[43.1972689], [-77.5927609]], [[43.197274], [-77.5926351]], [[43.1973307], [-77.5926395]], [[43.1973315], [-77.5926194]], [[43.1974238], [-77.5926265]], [[43.1974227], [-77.592652]], [[43.1975023], [-77.5926582]], [[43.1975576], [-77.5926625]], [[43.1975533], [-77.5927679]]]"
