Chicago Board of Trade Building,"['28951633', '184', [[['41.8769558'], ['-87.6319346']], [['41.8769549'], ['-87.6319943']], [['41.8769462'], ['-87.6325737']], [['41.8769458'], ['-87.6326025']], [['41.8780362'], ['-87.6326213']], [['41.8780442'], ['-87.6319588']], [['41.8776288'], ['-87.6319507']], [['41.8776329'], ['-87.6316879']], [['41.8776448'], ['-87.6309074']], [['41.8773580'], ['-87.6309006']], [['41.8769678'], ['-87.6308913']], [['41.8769578'], ['-87.6316718']], [['41.8770277'], ['-87.6316745']], [['41.8770237'], ['-87.6319373']], [['41.8769558'], ['-87.6319346']]]]"
Willis Tower,"['58528804', '442 m', [[['41.8785389'], ['-87.6363300']], [['41.8785423'], ['-87.6360397']], [['41.8785455'], ['-87.6357567']], [['41.8785488'], ['-87.6354746']], [['41.8787039'], ['-87.6354774']], [['41.8787692'], ['-87.6354824']], [['41.8789834'], ['-87.6354863']], [['41.8790737'], ['-87.6354877']], [['41.8791932'], ['-87.6354899']], [['41.8791906'], ['-87.6357666']], [['41.8791877'], ['-87.6360497']], [['41.8791850'], ['-87.6363362']], [['41.8790176'], ['-87.6363341']], [['41.8790173'], ['-87.6363729']], [['41.8787305'], ['-87.6363710']], [['41.8787309'], ['-87.6363332']], [['41.8785389'], ['-87.6363300']]]]"
190 South Lasalle,"['64393495', '175', [[['41.8799996'], ['-87.6329275']], [['41.8800046'], ['-87.6324488']], [['41.8794963'], ['-87.6324348']], [['41.8794883'], ['-87.6329149']], [['41.8799996'], ['-87.6329275']]]]"
Franklin Center North Tower,"['64398410', '270', [[['41.8805672'], ['-87.6343421']], [['41.8805635'], ['-87.6346607']], [['41.8805490'], ['-87.6346604']], [['41.8805466'], ['-87.6348723']], [['41.8805646'], ['-87.6348727']], [['41.8805613'], ['-87.6351496']], [['41.8800034'], ['-87.6351378']], [['41.8800119'], ['-87.6344173']], [['41.8800129'], ['-87.6343313']], [['41.8803392'], ['-87.6343382']], [['41.8803390'], ['-87.6343557']], [['41.8803850'], ['-87.6343566']], [['41.8803852'], ['-87.6343383']], [['41.8805672'], ['-87.6343421']]]]"
Insurance Exchange Building,"['64888073', '91', [[['41.8780282'], ['-87.6335762']], [['41.8780402'], ['-87.6327715']], [['41.8769738'], ['-87.6327474']], [['41.8769458'], ['-87.6327849']], [['41.8769398'], ['-87.6335064']], [['41.8769718'], ['-87.6335467']], [['41.8780282'], ['-87.6335762']]]]"
Bank of America Center,"['64888155', '93', [[['41.8782282'], ['-87.6320754']], [['41.8782422'], ['-87.6309113']], [['41.8787374'], ['-87.6309221']], [['41.8787215'], ['-87.6320888']], [['41.8782282'], ['-87.6320754']]]]"
JW Marriott Chicago,"['64888193', '87', [[['41.8788393'], ['-87.6336043']], [['41.8788533'], ['-87.6324080']], [['41.8793094'], ['-87.6324174']], [['41.8792944'], ['-87.6336137']], [['41.8788393'], ['-87.6336043']]]]"
Bank of America Building,"['64888258', '163', [[['41.8795003'], ['-87.6321183']], [['41.8795123'], ['-87.6309462']], [['41.8800166'], ['-87.6309588']], [['41.8800036'], ['-87.6321309']], [['41.8795003'], ['-87.6321183']]]]"
The Rookery,"['73706154', '55', [[['41.8787951'], ['-87.6320929']], [['41.8788011'], ['-87.6315015']], [['41.8793184'], ['-87.6315122']], [['41.8793124'], ['-87.6321090']], [['41.8787951'], ['-87.6320929']]]]"
Bankers Building,"['73711002', '145', [[['41.8788091'], ['-87.6313767']], [['41.8793164'], ['-87.6313875']], [['41.8793223'], ['-87.6309449']], [['41.8790895'], ['-87.6309400']], [['41.8788131'], ['-87.6309342']], [['41.8788091'], ['-87.6313767']]]]"
TransUnion Building,"['73723924', '102', [[['41.8776628'], ['-87.6309074']], [['41.8776528'], ['-87.6316879']], [['41.8780462'], ['-87.6316933']], [['41.8780542'], ['-87.6309154']], [['41.8776628'], ['-87.6309074']]]]"
Insurance Center Building,"['74268908', '62', [[['41.8769312'], ['-87.6338340']], [['41.8771639'], ['-87.6338407']], [['41.8771619'], ['-87.6341398']], [['41.8770610'], ['-87.6341358']], [['41.8770600'], ['-87.6341921']], [['41.8769272'], ['-87.6341881']], [['41.8769312'], ['-87.6338340']]]]"
Franklin Center South Tower,"['144351493', '270', [[['41.8800034'], ['-87.6351378']], [['41.8794650'], ['-87.6351265']], [['41.8794734'], ['-87.6344059']], [['41.8800119'], ['-87.6344173']], [['41.8800034'], ['-87.6351378']]]]"
311 South Wacker Drive,"['147350208', '292.9', [[['41.8777871'], ['-87.6355506']], [['41.8777868'], ['-87.6355733']], [['41.8777658'], ['-87.6355724']], [['41.8777695'], ['-87.6353565']], [['41.8771502'], ['-87.6353388']], [['41.8771479'], ['-87.6355551']], [['41.8771208'], ['-87.6355544']], [['41.8771214'], ['-87.6355307']], [['41.8770519'], ['-87.6355280']], [['41.8770506'], ['-87.6356379']], [['41.8770969'], ['-87.6356397']], [['41.8770960'], ['-87.6356745']], [['41.8772746'], ['-87.6359113']], [['41.8773481'], ['-87.6360087']], [['41.8773423'], ['-87.6364741']], [['41.8775431'], ['-87.6364769']], [['41.8775501'], ['-87.6360188']], [['41.8775833'], ['-87.6359788']], [['41.8778234'], ['-87.6356891']], [['41.8778238'], ['-87.6356584']], [['41.8778594'], ['-87.6356596']], [['41.8778614'], ['-87.6355523']], [['41.8777871'], ['-87.6355506']]]]"
